participant_id,model,rating_trait,llm_score,score_type,prompt_type
016dc2ca774e,GPT-5,Machiavellianism,2.0,target_trait_all_prompts,
016dc2ca774e,GPT-5,Narcissism,2.5,target_trait_all_prompts,
016dc2ca774e,GPT-5,Psychopathy,1.0,target_trait_all_prompts,
016dc2ca774e,GPT-OSS-120B,Machiavellianism,2.0,target_trait_all_prompts,
016dc2ca774e,GPT-OSS-120B,Narcissism,2.0,target_trait_all_prompts,
016dc2ca774e,GPT-OSS-120B,Psychopathy,1.2857142857142858,target_trait_all_prompts,
016dc2ca774e,Grok-4,Machiavellianism,1.875,target_trait_all_prompts,
016dc2ca774e,Grok-4,Narcissism,2.25,target_trait_all_prompts,
016dc2ca774e,Grok-4,Psychopathy,1.75,target_trait_all_prompts,
016dc2ca774e,LLaMA-3,Machiavellianism,2.375,target_trait_all_prompts,
016dc2ca774e,LLaMA-3,Narcissism,2.5,target_trait_all_prompts,
016dc2ca774e,LLaMA-3,Psychopathy,1.125,target_trait_all_prompts,
0485d66e43c0,GPT-5,Machiavellianism,3.0,target_trait_all_prompts,
0485d66e43c0,GPT-5,Narcissism,2.5,target_trait_all_prompts,
0485d66e43c0,GPT-5,Psychopathy,1.75,target_trait_all_prompts,
0485d66e43c0,GPT-OSS-120B,Narcissism,2.0,target_trait_all_prompts,
0485d66e43c0,GPT-OSS-120B,Psychopathy,1.5,target_trait_all_prompts,
0485d66e43c0,Grok-4,Machiavellianism,3.25,target_trait_all_prompts,
0485d66e43c0,Grok-4,Narcissism,1.875,target_trait_all_prompts,
0485d66e43c0,Grok-4,Psychopathy,1.5,target_trait_all_prompts,
0485d66e43c0,LLaMA-3,Machiavellianism,3.25,target_trait_all_prompts,
0485d66e43c0,LLaMA-3,Narcissism,3.5,target_trait_all_prompts,
0485d66e43c0,LLaMA-3,Psychopathy,2.0,target_trait_all_prompts,
04f2f320cb62,GPT-5,Machiavellianism,2.75,target_trait_all_prompts,
04f2f320cb62,GPT-5,Narcissism,1.5,target_trait_all_prompts,
04f2f320cb62,GPT-5,Psychopathy,2.0,target_trait_all_prompts,
04f2f320cb62,GPT-OSS-120B,Machiavellianism,2.857142857142857,target_trait_all_prompts,
04f2f320cb62,GPT-OSS-120B,Narcissism,1.0,target_trait_all_prompts,
04f2f320cb62,GPT-OSS-120B,Psychopathy,1.5,target_trait_all_prompts,
04f2f320cb62,Grok-4,Machiavellianism,2.625,target_trait_all_prompts,
04f2f320cb62,Grok-4,Narcissism,1.125,target_trait_all_prompts,
04f2f320cb62,Grok-4,Psychopathy,1.875,target_trait_all_prompts,
04f2f320cb62,LLaMA-3,Machiavellianism,3.125,target_trait_all_prompts,
04f2f320cb62,LLaMA-3,Narcissism,2.875,target_trait_all_prompts,
04f2f320cb62,LLaMA-3,Psychopathy,1.875,target_trait_all_prompts,
0cb295ccb6c3,GPT-5,Machiavellianism,2.5,target_trait_all_prompts,
0cb295ccb6c3,GPT-5,Narcissism,1.5,target_trait_all_prompts,
0cb295ccb6c3,GPT-5,Psychopathy,1.0,target_trait_all_prompts,
0cb295ccb6c3,GPT-OSS-120B,Machiavellianism,2.75,target_trait_all_prompts,
0cb295ccb6c3,GPT-OSS-120B,Narcissism,1.8571428571428572,target_trait_all_prompts,
0cb295ccb6c3,GPT-OSS-120B,Psychopathy,1.5,target_trait_all_prompts,
0cb295ccb6c3,Grok-4,Machiavellianism,3.0,target_trait_all_prompts,
0cb295ccb6c3,Grok-4,Narcissism,1.5714285714285714,target_trait_all_prompts,
0cb295ccb6c3,Grok-4,Psychopathy,1.5,target_trait_all_prompts,
0cb295ccb6c3,LLaMA-3,Machiavellianism,2.875,target_trait_all_prompts,
0cb295ccb6c3,LLaMA-3,Narcissism,2.5,target_trait_all_prompts,
0cb295ccb6c3,LLaMA-3,Psychopathy,1.625,target_trait_all_prompts,
0d2a04215716,GPT-5,Machiavellianism,1.5,target_trait_all_prompts,
0d2a04215716,GPT-5,Narcissism,2.0,target_trait_all_prompts,
0d2a04215716,GPT-5,Psychopathy,1.5,target_trait_all_prompts,
0d2a04215716,GPT-OSS-120B,Machiavellianism,1.375,target_trait_all_prompts,
0d2a04215716,GPT-OSS-120B,Narcissism,2.2857142857142856,target_trait_all_prompts,
0d2a04215716,GPT-OSS-120B,Psychopathy,1.5,target_trait_all_prompts,
0d2a04215716,Grok-4,Machiavellianism,1.625,target_trait_all_prompts,
0d2a04215716,Grok-4,Narcissism,2.0,target_trait_all_prompts,
0d2a04215716,Grok-4,Psychopathy,1.75,target_trait_all_prompts,
0d2a04215716,LLaMA-3,Machiavellianism,2.625,target_trait_all_prompts,
0d2a04215716,LLaMA-3,Narcissism,3.25,target_trait_all_prompts,
0d2a04215716,LLaMA-3,Psychopathy,1.75,target_trait_all_prompts,
10bbdf7065ea,GPT-5,Machiavellianism,2.5,target_trait_all_prompts,
10bbdf7065ea,GPT-5,Narcissism,2.0,target_trait_all_prompts,
10bbdf7065ea,GPT-5,Psychopathy,2.625,target_trait_all_prompts,
